"Month","Tmin","Tmax","Dynamic_Model","GDH"
4,1,19,0.428795639720254,139.894961358325
4,1,20,0.406438903603559,153.25737454897
4,1,21,0.344440198077878,165.979181235514
4,1,22,0.236627040950816,177.877486205506
4,1,23,0.050829008021648,188.788230017037
4,1,24,0,198.568784948228
4,1,25,0,207.100399412717
4,1,26,0,208.430458514622
4,1,27,0,205.369491191935
4,1,28,0,198.482194348007
4,1,29,0,190.239170205183
4,1,30,0,180.850775496201
4,2,2,0.650333115256681,0
4,2,3,0.65989194190913,0
4,2,4,0.692204092808563,0
4,2,5,0.760816085507551,0.528267067731591
4,2,6,0.749805336947265,2.58103365052096
4,2,7,0.765829527053576,6.32833526967247
4,2,8,0.767110535422567,11.7772958671226
4,2,9,0.772380695942991,18.8682720291508
4,2,10,0.770524531087965,27.4981503461457
4,2,11,0.758867740029423,37.532346214704
4,2,12,0.737830039396515,48.8055388274506
4,2,13,0.686558512101145,61.1361087260246
4,2,14,0.704059562964821,74.319574572576
4,2,15,0.609565067787025,88.1395928043118
4,2,16,0.618402745856813,102.373856194175
4,2,17,0.525787964389841,116.796117072772
4,2,18,0.27969747178579,131.1801583473
4,2,19,0.31062432872673,145.304619717499
4,2,20,0.421629873593636,158.956963651528
4,2,21,0.331299993959476,171.93711526756
4,2,22,0.214882821123645,184.06116572166
4,2,23,0.00253166551875456,195.164807018571
4,2,24,0,205.106126582556
4,2,25,0,213.7674066003
4,2,26,0,215.084303789525
4,2,27,0,211.911086413004
4,2,28,0,204.845390117236
4,2,29,0,196.454619356119
4,2,30,0,186.928279151738
4,3,3,0.673849968504271,0
4,3,4,0.707018137365898,0
4,3,5,0.771424656648534,0.648007444774849
4,3,6,0.781132594037325,2.99473634540267
4,3,7,0.78403861176882,7.14136973835145
4,3,8,0.776914467668205,13.0544018645801
4,3,9,0.755295315572329,20.6481723403531
4,3,10,0.747024518004529,29.7987788374673
4,3,11,0.733974576797171,40.3565899560218
4,3,12,0.715202426596328,52.148381602905
4,3,13,0.671707986889271,64.9814126921815
4,3,14,0.635431112592732,78.6476250772079
4,3,15,0.594661659364689,92.9278559516531
4,3,16,0.516235405563445,107.595379968924
4,3,17,0.45485414972832,122.420400130154
4,3,18,0.336429974510412,137.174450041454
4,3,19,0.266978554049324,151.634507600851
4,3,20,0.307905088104066,165.586890809227
4,3,21,0.257497374965411,178.831106344582
4,3,22,0.159664378518243,191.183305786897
4,3,23,0,202.479415709961
4,3,24,0,212.57794522024
4,3,25,0,221.362290929404
4,3,26,0,222.657094600674
4,3,27,0,219.329102499378
4,3,28,0,212.107057280308
4,3,29,0,203.514771142164
4,3,30,0,193.814441695284
4,4,4,0.733759589903758,0
4,4,5,0.784508471876006,0.964015151304294
4,4,6,0.783167832766274,3.84032566775026
4,4,7,0.785130960229569,8.58201932704627
4,4,8,0.774401702373044,15.1118786664086
4,4,9,0.773490292573222,23.3238154183639
4,4,10,0.766321808596824,33.0848392818364
4,4,11,0.752591251653305,44.2375225433003
4,4,12,0.736876736274935,56.6029124076389
4,4,13,0.713405368224374,69.9838342107718
4,4,14,0.682801654693942,84.1685211399359
4,4,15,0.646738021041089,98.9344998332368
4,4,16,0.619241882172687,114.052656391797
4,4,17,0.60900691922954,129.291404010677
4,4,18,0.580962390582064,144.420871683001
4,4,19,0.529584637708821,159.217033287604
4,4,20,0.458353500328626,173.465697833347
4,4,21,0.258195887044588,186.966284669938
4,4,22,0.096440261599969,199.535312020205
4,4,23,0,211.009533146791
4,4,24,0,221.248661712697
4,4,25,0,230.137636279891
4,4,26,0,231.390563080124
4,4,27,0,227.850745774849
4,4,28,0,220.48929685507
4,4,29,0,211.631946586355
4,4,30,0,201.707665903718
4,5,5,0.805210383769932,2.81463179126761
4,5,6,0.817154044873222,6.38214693099844
4,5,7,0.825765365330282,11.8049915077681
4,5,8,0.825832243163999,19.0017613440893
4,5,9,0.825176910543241,27.8623381384398
4,5,10,0.822192375851783,38.2499041448376
4,5,11,0.818352974990418,50.0034498280417
4,5,12,0.809042148953832,62.9407257430847
4,5,13,0.789737515413843,76.8615812556481
4,5,14,0.752592425381515,91.5516252377497
