"Month","Tmin","Tmax","CP"
4,-12,11,0.609756067667135
4,-12,12,0.592213681229053
4,-12,13,0.575652968451735
4,-12,14,0.581285487515766
4,-12,15,0.561927846492828
4,-12,16,0.560957664456866
4,-12,17,0.531710062463019
4,-12,18,0.47647447577431
4,-12,19,0.440241679203431
4,-12,20,0.393180918844377
4,-12,21,0.339617628123821
4,-12,22,0.131332255409819
4,-12,23,0
4,-12,24,0
4,-12,25,0
4,-12,26,0
4,-12,27,0
4,-12,28,0
4,-12,29,0
4,-12,30,0
4,-11,-11,3.40219864508907e-09
4,-11,-10,9.05445259845391e-09
4,-11,-9,3.28120785388705e-08
4,-11,-8,1.40080041376569e-07
4,-11,-7,6.40333379330118e-07
4,-11,-6,3.0027999755409e-06
4,-11,-5,1.41872464566726e-05
4,-11,-4,6.69765828921226e-05
4,-11,-3,0.000314524947937622
4,-11,-2,0.00146396031245751
4,-11,-1,0.0067075530476243
4,-11,0,0.0295353826338239
4,-11,1,0.114572432987197
4,-11,2,0.316016260181722
4,-11,3,0.51653897022375
4,-11,4,0.549655044878076
4,-11,5,0.562133234825731
4,-11,6,0.586072678328067
4,-11,7,0.600375371092795
4,-11,8,0.604851114574695
4,-11,9,0.618075908265172
4,-11,10,0.62187469573487
4,-11,11,0.614115406455567
4,-11,12,0.597783002812694
4,-11,13,0.599976950730466
4,-11,14,0.595957618501886
4,-11,15,0.575065110397001
4,-11,16,0.569557608876005
4,-11,17,0.510989152250338
4,-11,18,0.487738822793955
4,-11,19,0.444373620072146
4,-11,20,0.401439836222005
4,-11,21,0.333104476660498
4,-11,22,0.168892703139363
4,-11,23,0
4,-11,24,0
4,-11,25,0
4,-11,26,0
4,-11,27,0
4,-11,28,0
4,-11,29,0
4,-11,30,0
4,-10,-10,1.81209258276439e-08
4,-10,-9,4.7691502289457e-08
4,-10,-8,1.70379041502728e-07
4,-10,-7,7.16892408096251e-07
4,-10,-6,3.2315500777001e-06
4,-10,-5,1.4950766411315e-05
4,-10,-4,6.97109014603462e-05
